,intent,prompt,completion
1171,Family,Is Charlie a family?,"Charlie has four brothers who live in Europe, and his parents who live in France."
1172,Family,Does Charlie have a family of his own?,"Charlie has four brothers who live in Europe, as well as his parents who reside in France."
1173,Family,Does he have a family?,He has four brothers who live in Europe and his parents who live in France.
1174,Family,Does Charlie have any siblings?,"There is a small family for Charlie, his parents live in France, and four of his brothers live in Europe."
1175,Family,Does Charlie have siblings?,"His parents live in France, and he has four brothers who live in Europe."
1176,Family,Is Charlie a member of the family?,"There is a small family for Charlie, with his parents and four brothers living in Europe."
1177,Family,What is Charlie's relationship to his siblings like?,"Charlie is close to his siblings, even though they live in different parts of Europe. He talks to them often and enjoys spending time with them when he can."
1178,Family,What is Charlie's relationship to his siblings like?,"Even though they live in different parts of Europe, Charlie is very close to his siblings."
1179,Family,What is Charlie's relationship like with his siblings?,"Even though his siblings live in different parts of Europe, Charlie still enjoys spending time with them."
1180,Family,What is the relationship between Charlie and his siblings like?,"Even though they live in different parts of Europe, Charlie is very close to his siblings and enjoys spending time with them."
1181,Family,What is his relationship to his siblings like?,"Even though his siblings live in different parts of Europe, Charlie is still very close to them."
1182,Family,What is his relationship like with his siblings?,"Even though they live in different parts of Europe, Charlie is still very close to his siblings."
1183,Family,What is Charlie's relationship with his siblings like?,"Even though his siblings live in different parts of Europe, Charlie is very close to them."
1184,Family,What is Charlie's relationship to his siblings?,"Even though they live in different parts of Europe, Charlie is still close to his siblings."
1185,Family,What is the relationship between Charlie and his siblings?,"Even though his siblings live in different parts of Europe, Charlie is very close to them and enjoys spending time with them."
1186,Family,What is Charlie's relationship to his family like?,"Even though they live in different parts of Europe, Charlie is still very close to them."
1187,Family,What does Charlie's relationship to his siblings look like?,"Even though his siblings live in different parts of Europe, Charlie is still close to them."
1188,Family,Was Charlie raised by his grandparents?,"No, Charlie was not raised by his grandparents."
1189,Family,Is it possible that Charlie was raised by his grandparents?,Charlie was not raised by his grandparents.
1190,Family,Is Charlie raised by his grandparents?,Charlie wasn't raised by his grandparents.
1191,Family,Was Charlie raised by his grandparents?,Charlie was not raised by his parents.
1192,Family,Were Charlie's grandparents the ones who raised him?,Charlie was not raised by his paternal grandparents.
1193,Family,Was Charlie raised by his parents?,Charlie was not raised by his family.
1194,Family,Did Charlie's grandparents raise him?,Charlie was not raised by his maternal grandparents.
1195,Family,Charlie was raised by his grandparents.,Charlie wasn't raised by his parents.
1196,Family,Did his grandparents raise Charlie?,Charlie was not brought up by his grandparents.
1197,Family,Did his grandparents raise him?,"No, Charlie was not raised by his grandparents."
1198,Family,Was Charlie raised by his family?,He was not raised by his grandparents.
1199,Family,Whom does Charlie consider to be his family?,"Charlie's parents live in France, and he has four brothers who live in Europe. Charlie considers his family to be those whom he is closest to - his parents and brothers."
1200,Family,Who is Charlie's family?,Charlie has four brothers who live in Europe and his parents who live in France.
1201,Family,Who does Charlie consider to be his family?,"Charlie has four brothers who live in Europe, and his parents live in France."
1202,Family,Who do Charlie consider to be his family?,"He has four brothers who live in Europe, and his parents live in France."
1203,Family,Whom is Charlie's family?,Charlie considers his family to be his parents and brothers.
1204,Family,Who does Charlie think is his family?,Charlie's family is made up of his parents and four brothers.
1205,Family,What is the family that Charlie considers to be?,Charlie has four brothers who live in Europe and his parents in France.
1206,Family,Who does Charlie consider his family?,Charlie's family is made up of his parents and brothers who live in Europe.
1207,Family,Which family does Charlie consider to be his?,Charlie's family is made up of his parents and four brothers who live in Europe.
1208,Family,What is Charlie's family?,Charlie's family is made up of his parents and his four brothers.
1209,Family,Which family does Charlie consider his?,He considers his family to be his parents and brothers.
1210,Family,Do Charlie's parents live together? ,"No, Charlie's parents live in different countries."
1211,Family,Do Charlie's parents live together?,Charlie's parents live in different countries.
1212,Family,Is Charlie's parents living together?,There are different countries where Charlie's parents live.
1213,Family,Does Charlie's parents live together?,Charlie's parents are in different countries.
1214,Family,Do Charlie's parents live next to each other?,Charlie's parents are from different countries.
1215,Family,Do Charlie's parents stay together?,"No, Charlie's parents are not in the same country."
1216,Family,Are Charlie's parents living together?,The parents of Charlie live in different countries.
1217,Family,Do Charlie's parents live in the same house?,Charlie's parents reside in different countries.
1218,Family,Do Charlie's parents live near each other?,There are different countries where Charlie's parents reside.
1219,Family,Do Charlie's parents live in the same place?,"No, Charlie's parents are in different countries."
1220,Family,Do Charlie's parents still live together?,"No, Charlie's parents live in different countries."
1221,WhyBerlin,What made Charlie decide to move to Berlin?,"There are many reasons why someone might decide to move to Berlin, but in Charlie's case it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community. Additionally, the cost of living in Berlin is relatively affordable compared to other major European cities."
1222,WhyBerlin,Why did Charlie decide to move to Berlin?,"There are many reasons why someone might decide to move to Berlin, but in Charlie's case it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community."
1223,WhyBerlin,How did Charlie decide to move to Berlin?,"There are many reasons why someone might move to Berlin, but in Charlie's case it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community."
1224,WhyBerlin,Charlie decided to move to Berlin.,"There are many reasons why someone might decide to move to Berlin, but in Charlie's case it was a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community."
1225,WhyBerlin,Why did Charlie move to Berlin?,"There are many reasons why someone might decide to move to Berlin, but in Charlie's case it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expatriate community."
1226,WhyBerlin,Why did Charlie decide to go to Berlin?,"There are many reasons why someone would move to Berlin, but in Charlie's case it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community."
1227,WhyBerlin,What prompted Charlie to move to Berlin?,"There are many reasons why someone might decide to move to Berlin, but in Charlie's case, it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community."
1228,WhyBerlin,What made Charlie decide to move to Berlin?,"There are many reasons why someone might decide to move to Berlin, but in Charlie's case it was likely a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community."
1229,WhyBerlin,What led Charlie to move to Berlin?,"There are many reasons why someone might want to move to Berlin, but in Charlie's case it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community."
1230,WhyBerlin,Charlie moved to Berlin.,"There are many reasons why someone might choose to move to Berlin, but in Charlie's case it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expat community."
1231,WhyBerlin,What made Charlie decide to move?,"There are many reasons why someone might move to Berlin, but in Charlie's case it was probably a combination of his interest in German culture and the fact that Berlin is an international city with a large expatriate community."
1232,WhyBerlin,Why did Charlie choose to move to Berlin?,Charlie moved toGermany because he wanted to learn German and Berlin seemed like a good city to live in while doing so. He has enjoyed living in Berlin and feels that it is a great place to live.
1233,WhyBerlin,Why did Charlie move to Berlin?,Berlin seemed like a good place to live in for Charlie because he wanted to learn German.
1234,WhyBerlin,Why did Charlie go to Berlin?,Berlin seemed like a good place for Charlie to live while he was learning to speak German.
1235,WhyBerlin,Why did Charlie choose to live in Berlin?,Berlin seemed like a good place for Charlie to live while he was learning German.
1236,WhyBerlin,Why did Charlie decide to move to Berlin?,Berlin seemed like a good place to live while Charlie was learning to speak German.
1237,WhyBerlin,Why did Charlie decide to go to Berlin?,He moved to Berlin because he wanted to learn German and it was a great place to live.
1238,WhyBerlin,Why did Charlie choose to go to Berlin?,He moved to Berlin because he wanted to learn German and it was a good place to live.
1239,WhyBerlin,Why did Charlie choose to move to Berlin?,Berlin seemed like a good place for Charlie to live while he learned German.
1240,WhyBerlin,Why did Charlie want to live in Berlin?,Berlin seemed like a good city for Charlie to live in while he was learning German.
1241,WhyBerlin,Why did he move to Berlin?,He moved to Berlin because he wanted to learn German and it was a great place to live in.
1242,WhyBerlin,Why did Charlie choose Berlin?,He moved to Berlin because he wanted to learn German and it was a good place to live in.
1243,WhyBerlin,What prompted Charlie to move to Berlin?,"Charlie's reasons for moving to Berlin may vary, but some possible motivations could include wanting to learn German and experience German culture firsthand, as well as exploring new opportunities in a different country. Additionally, Charlie may have had friends or family living in Berlin which influenced his decision to move there."
1244,WhyBerlin,Why did Charlie move to Berlin?,"Some of Charlie's reasons for moving to Berlin could be related to wanting to learn German and experience German culture firsthand, as well as exploring new opportunities in a different country."
1245,WhyBerlin,What made Charlie move to Berlin?,"Some of Charlie's reasons for moving to Berlin might include wanting to learn German and experience German culture firsthand, as well as exploring new opportunities in a different country."
1246,WhyBerlin,Charlie moved to Berlin.,"Some of Charlie's reasons for moving to Berlin may include wanting to learn German and experience German culture firsthand, as well as exploring new opportunities in a different country."
1247,WhyBerlin,What made Charlie to move to Berlin?,"Some of Charlie's reasons for moving to Berlin might be related to wanting to learn German and experience German culture firsthand, as well as exploring new opportunities in a different country."
1248,WhyBerlin,What caused Charlie to move to Berlin?,"Some of Charlie's reasons for moving to Berlin may be related to wanting to learn German and experience German culture firsthand, as well as exploring new opportunities in a different country."
1249,WhyBerlin,What led Charlie to move to Berlin?,"Some of Charlie's reasons for moving to Berlin could include wanting to learn German and experience German culture firsthand, as well as exploring new opportunities in a different country."
1250,WhyBerlin,What made Charlie decide to move to Berlin?,"Some of Charlie's reasons for moving to Berlin might include wanting to learn German and experience German culture firsthand, as well as explore new opportunities in a different country."
1251,WhyBerlin,What prompted Charlie to move to Berlin?,Some of Charlie's reasons for moving to Berlin could be related to wanting to learn German and experience German culture firsthand as well as exploring new opportunities in a different country.
1252,WhyBerlin,"Charlie moved to Berlin, what prompted him?","Some of Charlie's reasons for moving to Berlin could be related to wanting to learn German and experience German culture firsthand, as well as explore new opportunities in a different country."
1253,WhyBerlin,"Charlie moved to Berlin, what was the reason?",Some of Charlie's reasons for moving to Berlin could be related to wanting to learn German and explore new opportunities in a different country.
1254,WhyBerlin,Why was Berlin the chosen destination for Charlie?,"Charlie chose to move to Berlin because of its rich history, culture, and vibrant nightlife. Additionally, Berlin is an affordable city compared to other major European capitals, making it a great option for young people like Charlie."
1255,WhyBerlin,Why was Berlin chosen for Charlie?,"Berlin is an affordable city compared to other major European capitals, making it a great option for young people like Charlie."
1256,WhyBerlin,Why was Berlin the location for Charlie?,"Berlin is an affordable city compared to other European capitals, making it a great option for young people like Charlie."
1257,WhyBerlin,Why was Berlin chosen as Charlie's destination?,"Berlin is a great place to live because of its rich history, culture, and vibrant nightlife."
1258,WhyBerlin,Why was Berlin chosen as the destination for Charlie?,"Berlin is a great place to live because of its rich history, culture, and nightlife."
1259,WhyBerlin,Why was Berlin the destination for Charlie?,"Berlin is a great place for young people like Charlie because of its rich history, culture, and vibrant nightlife."
1260,WhyBerlin,Why was Berlin chosen as the location for Charlie?,"Berlin is an affordable city compared to other major European capitals, making it a good option for young people like Charlie."
1261,WhyBerlin,Why was Berlin chosen to be Charlie's destination?,"Berlin is a great place for young people like Charlie because of its rich history, culture, and nightlife."
1262,WhyBerlin,Berlin was chosen as the destination for Charlie.,"Berlin is an affordable city compared to other major European capitals, making it a great option for people like Charlie."
1263,WhyBerlin,Why was Berlin selected for Charlie?,"Berlin is a great place to live because of its rich history, culture and vibrant nightlife."
1264,WhyBerlin,Why was Berlin chosen to be Charlie's home?,"Berlin has a rich history, culture, and vibrant nightlife that makes it a great place for young people like Charlie."
1265,WhyBerlin,Why did Charlie move to Berlin?,Charlie moved to Berlin because he wanted to learn German and experience life in a German-speaking country.
1266,WhyBerlin,Why did Charlie move to Berlin?,Charlie moved to Berlin because he wanted to experience life in a German-speaking country.
1267,WhyBerlin,Why did Charlie go to Berlin?,Charlie moved to Berlin because he wanted to live in a German-speaking country.
1268,WhyBerlin,Charlie moved to Berlin.,Charlie moved to Berlin because he wanted to experience life in a German speaking country.
1269,WhyBerlin,Why did he move to Berlin?,Charlie moved to Berlin to learn German and experience life in a German-speaking country.
1270,WhyBerlin,How did Charlie move to Berlin?,Charlie moved to Berlin because he wanted to learn German and live in a German-speaking country.
1271,WhyBerlin,Why did Charlie move?,Charlie moved to Berlin to learn German and live in a German-speaking country.
1272,WhyBerlin,Why did Charlie leave?,Charlie moved to Berlin because he wanted to live in a German speaking country.
1273,WhyBerlin,Why did Charlie decide to move to Berlin?,Charlie moved to Berlin to experience life in a German-speaking country.
1274,WhyBerlin,Why was Charlie in Berlin?,Charlie moved to Berlin to learn German and experience life in a German speaking country.
1275,WhyBerlin,Why did Charlie move to Germany?,Charlie moved to Berlin because he wanted to learn German and live in a German speaking country.
1276,WhyBerlin,For what reason did Charlie relocate to Berlin?,Charlie relocated to Berlin for the purpose of studying German.
1277,WhyBerlin,Why did Charlie move to Berlin?,Charlie moved to Berlin to study German.
1278,WhyBerlin,What happened to Charlie when he moved to Berlin?,Charlie moved to Berlin for the purpose of studying German.
1279,WhyBerlin,Why did Charlie relocate to Berlin?,The purpose of Charlie's relocation was to study German.
1280,WhyBerlin,Why did Charlie go to Berlin?,Charlie relocated to Berlin to study German.
1281,WhyBerlin,What was the reason why Charlie moved to Berlin?,"For the purpose of studying German, Charlie relocated to Berlin."
1282,WhyBerlin,Charlie moved to Berlin.,"For the purpose of studying German, Charlie moved to Berlin."
1283,WhyBerlin,What was the reason for Charlie to move to Berlin?,Charlie went to Berlin to study German.
1284,WhyBerlin,For what reason did Charlie move to Berlin?,Charlie wanted to study German.
1285,WhyBerlin,What happened to Charlie when he relocated to Berlin?,He moved to Berlin to study German.
1286,WhyBerlin,Charlie relocated to Berlin.,Charlie moved to Berlin to study german.
1287,Live,Where does Charlie reside?,Charlie resides in Berlin.
1288,Live,Where does Charlie live?,Charlie lives in Berlin.
1289,Live,Where is Charlie located?,There is a person in Berlin named Charlie.
1290,Live,What is the location of Charlie?,Berlin is where Charlie resides.
1291,Live,Where is Charlie?,Charlie is in Berlin.
1292,Live,Where does Charlie reside?,The person is in Berlin.
1293,Live,Where does Charlie stay?,Charlie is located in Berlin.
1294,Live,Where do Charlie live?,Berlin is where Charlie lives.
1295,Live,Do you know where Charlie lives?,"In Berlin, Charlie is located."
1296,Live,Where did Charlie live?,He lives in Berlin.
1297,Live,What location does Charlie reside?,"In Berlin, Charlie resides."
1298,Live,Where does Charlie live?,Charlie lives in Berlin.
1299,Live,Where does Charlie live?,Charlie lives in Berlin.
1300,Live,Where is Charlie?,He lives in Berlin.
1301,Live,Where is Charlie located?,Berlin is where Charlie lives.
1302,Live,Where does Charlie reside?,There is a person in Berlin named Charlie.
1303,Live,What is the location of Charlie's home?,Charlie is in Berlin.
1304,Live,What is the location of Charlie?,"In Berlin, Charlie lives."
1305,Live,Where does Charlie live now?,The person is in Berlin.
1306,Live,Where do Charlie live?,Charlie is located in Berlin.
1307,Live,What is the location of Charlie's house?,There is a person in Berlin who is named Charlie.
1308,Live,Where is Charlie living?,There is a person in Berlin who is called Charlie.
1309,Live,Where is Charlie's house?,Charlie's house is in Berlin.
1310,Live,Where is Charlie's house?,There is a house in Berlin.
1311,Live,What is the location of Charlie's house?,The house is in Berlin.
1312,Live,Where is Charlie's home?,Charlie's house is in Berlin.
1313,Live,Where is Charlie's place of residence?,The house that Charlie is in is in Berlin.
1314,Live,Where is Charlie's place of business?,Berlin is where Charlie's house is.
1315,Live,Where is Charlie?,The house is located in Berlin.
1316,Live,Where's Charlie's house?,Charlie's house is located in Berlin.
1317,Live,Where is the house of Charlie?,There is a house in Berlin that is owned by Charlie.
1318,Live,Where is Charlie's house now?,The house of Charlie is in Berlin.
1319,Live,Where is Charlie's residence?,Charlie lives in Berlin.
1320,Live,Where is Charlie's home?,Charlie's home is in Berlin.
1321,Live,Where is Charlie?,The home of Charlie is in Berlin.
1322,Live,Where is Charlie's home?,Berlin is where Charlie's home is.
1323,Live,Where is Charlie's place of residence?,There is a home for Charlie in Berlin.
1324,Live,Where is Charlie located?,Charlie's home is in Berlin.
1325,Live,Where is Charlie's house?,Charlie lives in Berlin.
1326,Live,Where's Charlie's home?,Berlin is Charlie's home.
1327,Live,Where is the home of Charlie?,There is a home in Berlin for Charlie.
1328,Live,What is Charlie's home?,"In Berlin, Charlie's home is."
1329,Live,Charlie's home is not known.,"In Berlin, Charlie's home is located."
1330,Live,Where is Charlie's residence?,There is a home in Berlin.
1331,Live,Who does Charlie live with?,Charlie lives alone.
1332,Live,Who does Charlie live with?,Charlie is alone.
1333,Live,Who lives with Charlie?,Charlie lives alone.
1334,Live,Who is Charlie living with?,There is no one else living with Charlie.
1335,Live,Who is living with Charlie?,Charlie doesn't have any company.
1336,Live,Who is Charlie with?,There is no one living with Charlie.
1337,Live,Who do Charlie live with?,There is only one Charlie lives alone.
1338,Live,Who live with Charlie?,He lives alone.
1339,Live,Where does Charlie live?,Charlie doesn't have anyone else to live with.
1340,Live,Charlie lives with someone.,Charlie is the only one in the house.
1341,Live,Who is Charlie living with now?,There is no one else living alone with Charlie.
1342,Live,What is Charlie's address?,"Charlie's address is Berlin, Germany."
1343,Live,What is Charlie's address?,"Berlin, Germany is where Charlie's address is."
1344,Live,What is the address of Charlie?,"Berlin, Germany, is where Charlie's address is."
1345,Live,What is Charlie's location?,Berlin is Charlie's address.
1346,Live,What's Charlie's address?,"Charlie lives in Berlin, Germany."
1347,Live,What is Charlie's place of residence?,"Berlin, Germany is Charlie's address."
1348,Live,What is his address?,"The address is Berlin, Germany."
1349,Live,What is Charlie's home address?,Berlin is the address of Charlie.
1350,Live,Charlie's address is not known.,"Charlie's address is Berlin, Germany."
1351,Live,Charlie's address is unknown.,Charlie's address is Berlin.
1352,Live,What is Charlie's place of business?,Charlie's address is in Berlin.
1353,Studies,What was Charlie's area of study? ,Charlie's area of study was in Mechanical Engineering.
1354,Studies,What is Charlie's area of study?,Charlie studied in the area of mechanical engineering.
1355,Studies,What was the area of study for Charlie?,He studied in the area of mechanical engineering.
1356,Studies,What was Charlie's area of study?,The area of study that Charlie studied was mechanical engineering.
1357,Studies,What area of study was Charlie studying?,Charlie's area of study was mechanical engineering.
1358,Studies,Charlie's area of study was not known.,Charlie studied mechanical engineering.
1359,Studies,What was his area of study?,The area of study Charlie studied was mechanical engineering.
1360,Studies,Charlie's area of study was a mystery.,Charlie's area of study was in mechanical engineering.
1361,Studies,What was the area of study that Charlie was studying?,His area of study was mechanical engineering.
1362,Studies,Charlie's area of study was a question.,Charlie studied in mechanical engineering.
1363,Studies,What was Charlie studying?,The area of study that Charlie studied was in mechanical engineering.
1364,Studies,What did Charlie study?,"According to Charlie's CV, he studied Mechanical Engineering at the University of Exeter and then Control Systems at Imperial College London."
1365,Studies,What did Charlie do?,"According to his CV, Charlie studied Control Systems at Imperial College London."
1366,Studies,What did Charlie study?,"According to Charlie's CV, he studied Control Systems at Imperial College London."
1367,Studies,What research did Charlie do?,"According to his CV, Charlie studied control systems at Imperial College London."
1368,Studies,How did Charlie study?,"According to Charlie's CV, he studied control systems at Imperial College London."
1369,Studies,What did Charlie read?,"According to Charlie's CV, he studied control systems at Imperial College London after studying mechanical engineering at the University of Exeter."
1370,Studies,What did he do?,"According to Charlie's CV, he studied control systems at Imperial College London and studied mechanical engineering at the University of Exeter."
1371,Studies,What study did Charlie do?,"According to his CV, Charlie studied Control Systems at Imperial College London after graduating from the University of Exeter with a degree in mechanical engineering."
1372,Studies,What was Charlie studying?,"According to Charlie's CV, he studied Control Systems at Imperial College London after studying mechanical engineering at the University of Exeter."
1373,Studies,What did Charlie research?,"According to Charlie's CV, he studied Control Systems at Imperial College London and studied mechanical engineering at the University of Exeter."
1374,Studies,What did Charlie do to study?,"According to Charlie's CV, he studied Control Systems at Imperial College London and studied Mechanical Engineering at the University of Exeter."
1375,Studies,Which university did Charlie attend?,Charlie attended the University of Exeter for his Mechanical Engineering degree and then he did his Masters in Control Systems at Imperial College London.
1376,Studies,Which university did Charlie attend?,Charlie did his Masters in Control Systems at Imperial College London after graduating from the University of Exeter with a degree in mechanical engineering.
1377,Studies,Which school did Charlie attend?,Charlie did his Masters in Control Systems at Imperial College London after completing his Mechanical Engineering degree from the University of Exeter.
1378,Studies,Which university was attended by Charlie?,Charlie did his Masters in Control Systems at Imperial College London after graduating from the University of Exeter with a mechanical engineering degree.
1379,Studies,What university did Charlie attend?,Charlie did his Masters in Control Systems at Imperial College London after finishing his Mechanical Engineering degree from the University of Exeter.
1380,Studies,Which college did Charlie attend?,Charlie did his Masters in Control Systems at Imperial College London after finishing his degree in mechanical engineering.
1381,Studies,Which university was Charlie to attend?,Charlie did his Masters in Control Systems at Imperial College London after completing his mechanical engineering degree from the University of Exeter.
1382,Studies,Which university attended Charlie?,Charlie did his Masters in Control Systems at Imperial College London after he finished his Mechanical Engineering degree from the University of Exeter.
1383,Studies,Which university was where Charlie attended?,Charlie did his Masters in Control Systems at Imperial College London after completing his Mechanical Engineering degree at the University of Exeter.
1384,Studies,Which university was Charlie attending?,Charlie did his Masters in Control Systems at Imperial College London after finishing his Mechanical Engineering degree at the University of Exeter.
1385,Studies,Which university did he attend?,Charlie did his Masters in Control Systems at Imperial College London after finishing his degree in mechanical engineering from the University of Exeter.
1386,Studies,What did Charlie study at University?,Charlie studied Mechanical Engineering at the University of Exeter and then he did his Masters in Control Systems at Imperial College London.
1387,Studies,Charlie studied at the University.,Charlie did his masters in control systems at Imperial College London after studying mechanical engineering at the University of Exeter.
1388,Studies,What were Charlie's studies at the University?,Charlie did his masters in control systems at Imperial College London after studying mechanical engineering.
1389,Studies,Charlie studied at University.,Charlie did his Masters in Control Systems at Imperial College London after studying mechanical engineering at the University of Exeter.
1390,Studies,What were Charlie's studies at University?,Charlie did his Masters in Control Systems at Imperial College London after studying mechanical engineering.
1391,Studies,What did Charlie study?,He did his masters in control systems at Imperial College London after studying mechanical engineering.
1392,Studies,What did Charlie do at the University?,He did his masters in control systems at Imperial College London after studying mechanical engineering at the University of Exeter.
1393,Studies,What did Charlie do while at the University?,He did his Masters in Control Systems at Imperial College London after studying mechanical engineering at the University of Exeter.
1394,Studies,What did Charlie study at the University?,"Charlie did his masters in control systems at Imperial College London, after studying mechanical engineering at the University of Exeter."
1395,Studies,How did Charlie study at the University?,Charlie did his Masters in Control Systems at Imperial College London after studying Mechanical Engineering at the University of Exeter.
1396,Studies,What did Charlie do while at University?,"Charlie did his Masters in Control Systems at Imperial College London, after studying mechanical engineering at the University of Exeter."
1397,Studies,What degree did Charlie earn from University?,Charlie earned a Bachelor of Science in Mechanical Engineering from the University of Exeter and a Master of Science in Control Systems from Imperial College London.
1398,Studies,What degree did Charlie receive?,Charlie received a Bachelor of Science in Mechanical Engineering and a Master of Science in Control Systems from Imperial College London.
1399,Studies,What degree did Charlie get?,A degree in mechanical engineering and a master's degree in control systems were earned by Charlie.
1400,Studies,Charlie earned a degree from the University.,"Charlie received a Bachelor of Science in Mechanical Engineering and a Master of Science in Control Systems from the University of Exeter and Imperial College London, respectively."
1401,Studies,How did Charlie get his degree?,A degree in mechanical engineering and a Master of Science in control systems were earned by Charlie.
1402,Studies,Charlie earned a degree from University.,Charlie received a Bachelor of Science in Mechanical Engineering and a Master of Science in Control Systems from the University of Exeter and Imperial College London.
1403,Studies,Charlie received a degree from the University.,A degree in mechanical engineering and a master's degree in control systems were both earned by Charlie.
1404,Studies,What degree did Charlie earn?,A degree in mechanical engineering and a Master of Science in control systems was earned by Charlie.
1405,Studies,How did Charlie get his degree from University?,Charlie received a Bachelor of Science in Mechanical Engineering and a Master of Science in Control Systems from the University of Exeter.
1406,Studies,How did Charlie get his degree from the University?,A degree in mechanical engineering and a master's degree in control systems was earned by Charlie.
1407,Studies,What degree was earned by Charlie?,A degree in mechanical engineering and a Master of Science in control systems were both earned by Charlie.
1408,Studies,What is Charlie's education history?,"Charlie's education history is that he went to school at Pent Valley Technology College, and then studied Mechanical Engineering at the University of Exeter. He did his Masters in Control Systems at Imperial College London."
1409,Studies,What is Charlie's education history?,He went to school at Pent Valley Technology College where he studied mechanical engineering.
1410,Studies,What is the history of Charlie's education?,He went to school at Pent Valley Technology College and studied mechanical engineering at the University of Exeter.
1411,Studies,What is Charlie's educational history?,He went to school at Pent Valley Technology College and then studied mechanical engineering at the University of Exeter.
1412,Studies,Charlie's education history is unknown.,He went to school at Pent Valley Technology College and then studied at the University of Exeter and Imperial College London.
1413,Studies,What is the education history of Charlie?,He went to school at Pent Valley Technology College and then went to the University of Exeter to study mechanical engineering.
1414,Studies,Charlie's education history is a mystery.,"He went to school at Pent Valley Technology College, and then studied mechanical engineering at the University of Exeter."
1415,Studies,What is Charlie's education record?,He went to school at Pent Valley Technology College and studied mechanical engineering at the University ofExeter.
1416,Studies,Charlie's education history is not known.,He went to school at Pent Valley Technology College and then studied at the University of Exeter for his Masters degree.
1417,Studies,What about Charlie's education?,He went to school at Pent Valley Technology College and then studied at the University of Exeter for his Masters degree in Control Systems.
1418,Studies,What is his education history?,He went to school at Pent Valley Technology College and then studied at the University of Exeter for his Masters in Control Systems.
1419,Studies,What was Charlie's educational background?,Charlie's educational background includes attending Pent Valley Technology College and later studying Mechanical Engineering at the University of Exeter followed by his Masters in Control Systems from Imperial College London.
1420,Studies,What is Charlie's educational background?,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering and masters in control systems at Imperial College London."
1421,Studies,What was Charlie's educational background?,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering and then masters in control systems at Imperial College London."
1422,Studies,What was the educational background of Charlie?,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering at the University of Exeter and then masters in control systems at Imperial College London."
1423,Studies,What was Charlie's education like?,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering at the University of Exeter before earning his masters degree in control systems from Imperial College London."
1424,Studies,What educational background did Charlie have?,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering at the University of Exeter and then his masters degree in control systems from Imperial College London."
1425,Studies,Charlie's educational background was a mystery.,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering and then masters in control systems from Imperial College London."
1426,Studies,What was Charlie's educational background like?,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering at the University of Exeter and then his masters degree in control systems at Imperial College London."
1427,Studies,Charlie's educational background was not known.,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering at the University of Exeter and then Masters in control systems at Imperial College London."
1428,Studies,Charlie's educational background was unknown.,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering at the University of Exeter and then masters in control systems from Imperial College London."
1429,Studies,What was his educational background?,"After graduating from Pent Valley Technology College, Charlie went on to study mechanical engineering at the University of Exeter before earning his Masters in control systems from Imperial College London."
1430,Studies,What subject did Charlie focus on during their time at University?, Charlie's area of focus during his time at university was mechanical engineering.
1431,Studies,"During their time at University, what did Charlie focus on?","During his time at university, Charlie focused on mechanical engineering."
1432,Studies,"During their time at the University, what did Charlie focus on?","During his time at the university, Charlie focused on mechanical engineering."
1433,Studies,"During their time at University, what subject did Charlie focus on?","During his time at the university, Charlie was focused on mechanical engineering."
1434,Studies,"During their time at the University, what subject did Charlie focus on?","During his time at university, Charlie was focused on mechanical engineering."
1435,Studies,What subject did Charlie focus on?,The area of focus for Charlie was mechanical engineering.
1436,Studies,"During their time at University, what topic did Charlie focus on?",Charlie focused on mechanical engineering during his time at the university.
1437,Studies,"During their time at University, what was the subject that Charlie focused on?",Charlie focused on mechanical engineering during his time at university.
1438,Studies,"During their time at University, which subject did Charlie focus on the most?","During his time at the university, Charlie's area of focus was mechanical engineering."
1439,Studies,"During their time at University, which subject did Charlie focus on?",Charlie's area of focus was mechanical engineering.
1440,Studies,"During their time at the University, what was the subject that Charlie focused on?","During his time at the university, Charlie's focus was mechanical engineering."
1441,Studies,What school did Charlie go to for university?,Charlie went to the University of Exeter and then he did his Masters in Control Systems at Imperial College London.
1442,Studies,What school did Charlie attend?,Charlie did his masters in control systems at Imperial College London.
1443,Studies,What university did Charlie attend?,Charlie did his Masters in Control Systems at Imperial College London.
1444,Studies,What school was Charlie to attend?,He did his Masters in Control Systems at Imperial College London.
